,infected,dead,infected_min,infected_max,dead_min,dead_max
247,1634,65,665.6305900807994,2603.5501153753867,34.23852320388785,96.13585257644756
248,1653,65,673.3288101290924,2633.6606186214385,34.52986815965512,96.95390335523142
249,1672,66,681.1582743242095,2664.2843227164767,34.829828957513485,97.79614675125913
250,1692,66,689.1095189529991,2695.384345652603,35.1374062517837,98.65977678421702
251,1712,67,697.1727664407157,2726.922603760406,35.451676565748286,99.54220047251123
252,1732,68,705.3379417444182,2758.8598770805856,35.77180516998545,100.4410739901873
253,1752,68,713.5946897210042,2791.155878276746,36.09705790180403,101.35433585176474
254,1772,69,721.9323934491456,2823.7693249543618,36.42681175692223,102.28023665120921
255,1793,69,730.3401934817143,2856.6580152404185,36.760564096827906,103.21736491572962
256,1814,70,738.8070080025259,2889.7789064680956,37.09794032972512,104.16466867571366
257,1835,71,747.3215538584459,2923.088196801095,37.43869993949213,105.1214723984061
258,1856,71,755.8723684347108,2956.5414096231916,37.782740755443704,106.08748898443284
259,1877,72,764.4478323380742,2990.093480510015,38.130101375679196,107.06282658233255
260,1898,73,773.0361928488544,3023.6988465921067,38.480961678214165,108.04799003621179
261,1919,73,781.6255880992792,3057.31153811118,38.835641376607455,109.04387684479788
262,1940,74,790.2040719315644,3090.8852719647793,39.19459660019666,110.05176757569254
263,1961,75,798.7596393850465,3124.3735470288975,39.55841450300531,111.07331074574645
264,1982,76,807.2802527573699,3157.7297410428528,39.92780592959009,112.1105022463265
265,2003,76,815.7538681803278,3190.9072088363946,40.30359619025954,113.16565945995363
266,2024,77,824.1684626461761,3223.859381675476,40.68671402189114,114.24139028149665
267,2044,78,832.5120614158072,3256.5398675000724,41.078178833691965,115.34055732194122
268,2064,78,840.7727657352277,3288.9025518253175,41.47908635940063,116.46623763488617
269,2084,79,848.9387807821238,3320.901699075749,41.8905928583074,117.62167836451246
270,2104,80,856.9984437597807,3352.492054121407,42.31389802681592,118.81024876809794
271,2124,81,864.940252050942,3383.6289437844243,42.75022679981488,120.03538911544443
272,2143,82,872.7528913400893,3414.2683780848565,43.20081023664702,121.30055701126372
273,2162,83,880.4252636085735,3444.3671509952997,43.66686569975545,122.60917172397879
