,$\beta_1$,$\beta_2$,$\beta_3$,$\beta_4$
1004,0.30581245027342485,0.03322187626111007,0.1087364228974245,0.0007800937239214913
1005,0.3056922172309577,0.03309512265914039,0.10846212368456826,0.0007896406319453394
1006,0.3059353794418123,0.033458877426121726,0.10920983011762725,0.0007645085250942425
1007,0.30735605289021584,0.03376397005549493,0.10965679633015522,0.0007423281652746022
1008,0.3094363986552186,0.03387030326180353,0.10919775205902432,0.0007644190479964034
1009,0.30621929936880415,0.03340585328748329,0.10903942427670593,0.0007674931298670901
1010,0.3078618527294674,0.033450948679435745,0.10869009936041284,0.0007825994278482424
1011,0.30624925426814853,0.03304887153582223,0.10820357910096809,0.0008016014118552251
1012,0.30678537738991163,0.03326778556384503,0.10851823483283474,0.0007886536495097591
1013,0.30931723170563025,0.03382073663205034,0.10909306870699192,0.0007682489954434213
1014,0.30786908288278947,0.03359597177079493,0.10899537750857019,0.0007697065669010547
1015,0.3050606695795962,0.033143626352222184,0.10879204693012695,0.000777135477951853
1016,0.30795619933373397,0.033840092839589254,0.10961559978552594,0.0007452220670087161
1017,0.307956444494076,0.03348705236342996,0.10883561791600677,0.0007751612540145144
1018,0.30662473044249955,0.03340013695099559,0.10888378167678622,0.0007770054073574853
1019,0.3059671643529471,0.033462769599240265,0.10931223470613845,0.0007564286499857387
1020,0.3067701056003967,0.0336966243090134,0.10964450958521464,0.0007434979218335516
1021,0.30621683264594607,0.03349448869003308,0.10932138201732002,0.0007535139474669115
1022,0.3087101578780983,0.03382232868101161,0.10928747531202751,0.0007603538519727444
1023,0.3088523680572948,0.03385222759152333,0.10931684138376621,0.0007582117679164549
1024,0.3061482973249856,0.03341602514082738,0.10904218166196909,0.0007681437325129498
1025,0.30526814726952156,0.03329753867505843,0.10905106053185865,0.0007672336280191556
1026,0.30614280475171046,0.033281249246533647,0.10868239004324741,0.0007861129644667648
1027,0.30696997202668563,0.03357834344611233,0.10911158867004386,0.0007696480641349065
1028,0.3050950168439372,0.033384942853797006,0.10938490417453332,0.0007523618418497522
1029,0.3081470825122707,0.03355709072109741,0.10878983385286285,0.0007822756934538465
